lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.52,19.271850741715003,-11.583400181796392,-3.877553100009025,4.027931174766385,-8.696989542296864,-10.63862606968935,-0.976903282239838,-6.94481875367364,-22.328850657378013,-1.672412629538003
0.56,19.27089448687157,-11.582813753064897,-3.877376524763819,4.027816801773896,-8.696550818208854,-10.63803516626671,-0.9768892330302157,-6.944380003738454,-22.327689467511618,-1.672252078987277
0.6,19.269938326683754,-11.582227384043433,-3.8771999653513385,4.027702432392499,-8.696112139546473,-10.637444328364483,-0.9768751811666796,-6.9439413070893234,-22.326528399999546,-1.6720915513898285
0.64,19.268982261137538,-11.581641074722844,-3.8770234217695103,4.027588066622732,-8.695673506302523,-10.63685355597179,-0.9768611266503431,-6.9435026637167745,-22.32536745482226,-1.6719310467412787
0.68,19.268026290218938,-11.581054825093956,-3.8768468940162637,4.027473704465116,-8.695234918469785,-10.636262849077731,-0.9768470694823215,-6.943064073611318,-22.324206631960184,-1.671770565037247
0.72,19.267070413913927,-11.58046863514762,-3.8766703820895305,4.027359345920187,-8.694796376041056,-10.635672207671444,-0.9768330096637265,-6.942625536763474,-22.32304593139377,-1.6716101062733553
0.76,19.26611463220853,-11.579882504874664,-3.8764938859872418,4.027244990988472,-8.694357879009132,-10.635081631742029,-0.9768189471956714,-6.942187053163767,-22.321885353103482,-1.6714496704452277
0.8,19.265158945088743,-11.579296434265936,-3.876317405707324,4.027130639670498,-8.693919427366811,-10.634491121278618,-0.9768048820792692,-6.941748622802722,-22.320724897069773,-1.6712892575484875
0.84,19.264203352540576,-11.578710423312275,-3.8761409412477095,4.02701629196679,-8.693481021106882,-10.633900676270338,-0.9767908143156321,-6.941310245670864,-22.319564563273108,-1.6711288675787603
0.88,19.263247854550038,-11.578124472004532,-3.8759644926063337,4.02690194787788,-8.693042660222144,-10.633310296706304,-0.9767767439058719,-6.940871921758722,-22.318404351693953,-1.6709685005316708
0.92,19.262292451103136,-11.577538580333549,-3.8757880597811245,4.026787607404294,-8.692604344705403,-10.632719982575662,-0.9767626708510997,-6.9404336510568285,-22.31724426231277,-1.670808156402848
