lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
1.0,19.26038192778433,-11.576366975865268,-3.8754352415709366,4.026558937305201,-8.691727849747114,-10.631539550571038,-0.9767345168109636,-6.939557269245916,-22.314924450066243,-1.67048753688251
1.04,19.259426807884452,-11.575781263049677,-3.8752588561818246,4.026444607680751,-8.691289670291173,-10.63094943267534,-0.9767204358278192,-6.939119158117974,-22.313764727161875,-1.6703272614822575
1.08,19.25847178247231,-11.575195609834253,-3.875082486600611,4.026330281673725,-8.69085153617444,-10.630359380169558,-0.9767063522041051,-6.938681100162425,-22.312605126377402,-1.6701670089827905
1.12,19.25751685153392,-11.574610016209862,-3.8749061328252297,4.026215959284657,-8.690413447389727,-10.629769393042846,-0.97669226594093,-6.938243095369816,-22.31144564769334,-1.6700067793797393
1.16,19.256562015055312,-11.574024482167353,-3.8747297948536135,4.026101640514073,-8.689975403929838,-10.629179471284338,-0.976678177039402,-6.937805143730686,-22.31028629109016,-1.669846572668739
1.2,19.255607273022488,-11.57343900769759,-3.874553472683695,4.025987325362493,-8.689537405787586,-10.628589614883184,-0.9766640855006302,-6.9373672452355795,-22.309127056548377,-1.669686388845424
1.24,19.25465262542155,-11.572853592791438,-3.874377166313413,4.025873013830445,-8.689099452955789,-10.627999823828544,-0.9766499913257232,-6.936929399875054,-22.3079679440485,-1.6695262279054304
1.28,19.25369807223848,-11.572268237439758,-3.874200875740698,4.025758705918457,-8.688661545427252,-10.627410098109545,-0.9766358945157901,-6.936491607639654,-22.30680895357103,-1.669366089844393
1.32,19.252743613459312,-11.571682941633425,-3.874024600963491,4.025644401627046,-8.688223683194796,-10.626820437715352,-0.976621795071936,-6.936053868519936,-22.30565008509647,-1.6692059746579502
1.36,19.251789249070136,-11.57109770536329,-3.8738483419797203,4.025530100956739,-8.68778586625124,-10.626230842635128,-0.976607692995269,-6.935616182506456,-22.304491338605356,-1.6690458823417418
1.4,19.250834979056982,-11.570512528620235,-3.873672098787326,4.025415803908064,-8.687348094589398,-10.625641312858022,-0.9765935882868984,-6.935178549589768,-22.303332714078202,-1.668885812891405
1.44,19.249880803405876,-11.569927411395131,-3.873495871384244,4.025301510481536,-8.686910368202092,-10.625051848373191,-0.9765794809479258,-6.934740969760434,-22.30217421149553,-1.6687257663025827
1.48,19.248926722102894,-11.569342353678849,-3.873319659768409,4.025187220677688,-8.686472687082139,-10.624462449169807,-0.9765653709794591,-6.934303443009014,-22.301015830837876,-1.6685657425709155
1.52,19.24797273513407,-11.56875735546227,-3.87314346393776,4.025072934497038,-8.68603505122237,-10.623873115237036,-0.9765512583826031,-6.93386596932608,-22.29985757208577,-1.6684057416920468
1.56,19.247018842485488,-11.56817241673626,-3.872967283890233,4.0249586519401035,-8.685597460615611,-10.623283846564034,-0.9765371431584662,-6.933428548702192,-22.298699435219746,-1.6682457636616204
1.6,19.246065044143183,-11.567587537491704,-3.8727911196237694,4.024844373007414,-8.685159915254678,-10.622694643139981,-0.9765230253081482,-6.9329911811279175,-22.297541420220355,-1.6680858084752799
1.64,19.245111340093235,-11.567002717719486,-3.8726149711363,4.024730097699486,-8.684722415132413,-10.622105504954046,-0.9765089048327567,-6.932553866593826,-22.296383527068137,-1.6679258761286737
1.68,19.24415773032169,-11.5664179574105,-3.8724388384257704,4.024615826016847,-8.684284960241634,-10.621516431995403,-0.9764947817333969,-6.932116605090501,-22.295225755743637,-1.6677659666174454
1.72,19.243204214814625,-11.565833256555601,-3.8722627214901117,4.024501557960017,-8.68384755057517,-10.620927424253232,-0.976480656011169,-6.931679396608508,-22.294068106227424,-1.6676060799372463
1.76,19.24225079355812,-11.565248615145702,-3.872086620327271,4.024387293529511,-8.683410186125862,-10.620338481716715,-0.9764665276671773,-6.9312422411384285,-22.292910578500056,-1.6674462160837242
1.8,19.241297466538242,-11.564664033171681,-3.871910534935184,4.024273032725855,-8.68297286688654,-10.619749604375023,-0.9764523967025249,-6.930805138670841,-22.29175317254209,-1.6672863750525284
1.84,19.240344233741062,-11.564079510624433,-3.871734465311783,4.024158775549569,-8.682535592850037,-10.61916079221735,-0.9764382631183143,-6.930368089196328,-22.29059588833409,-1.6671265568393108
1.88,19.239391095152676,-11.563495047494845,-3.8715584114550228,4.024044522001175,-8.682098364009205,-10.618572045232886,-0.9764241269156462,-6.929931092705475,-22.289438725856634,-1.6669667614397226
1.92,19.23843805075914,-11.562910643773813,-3.8713823733628328,4.023930272081188,-8.681661180356866,-10.617983363410806,-0.9764099880956261,-6.929494149188862,-22.288281685090286,-1.6668069888494195
1.96,19.237485100546557,-11.562326299452234,-3.871206351033157,4.0238160257901265,-8.681224041885862,-10.617394746740311,-0.976395846659351,-6.929057258637085,-22.287124766015648,-1.6666472390640525
