0.000000000000000000e+00,0.000000000000000000e+00
5.648855560419300259e-01,8.056743275797316750e-01
5.889296150011874564e-01,1.330193868608364527e+00
1.045489123544752541e+00,1.457005106833341168e+00
1.503840385254918033e+00,2.313473352907982061e+00
1.858962343703409958e+00,3.144290895644061834e+00
1.963341137900173949e+00,3.344487199589337934e+00
1.993502580109971278e+00,3.430180390333851026e+00
2.089750286898426346e+00,3.453274596993999523e+00
2.217428054341909593e+00,3.571160440980391648e+00
2.274848936981657133e+00,3.648744457237449890e+00
2.450761368503668880e+00,3.703039002601545615e+00
2.404953848006976092e+00,3.617301198883485558e+00
2.425667788620151200e+00,3.759406620276538380e+00
2.609423812847893487e+00,3.892533573450083662e+00
2.618024424653116800e+00,3.899302322846387003e+00
2.632609111860660267e+00,3.906648633089574219e+00
2.717347725050204943e+00,3.922952305159700614e+00
2.825768491458823917e+00,4.041021440306345802e+00
2.833460760383781807e+00,4.042642053985984418e+00
2.799252951344527673e+00,4.021577459799401844e+00
2.733595232236977868e+00,3.941742874668642926e+00
2.735666148463423930e+00,3.953828533854747196e+00
2.622065851467977993e+00,3.772471604364521447e+00
2.626813460208195394e+00,3.798169494610680097e+00
2.645824519327097057e+00,3.892003515506255340e+00
2.960713606834661338e+00,4.060064855819454976e+00
3.021031337841935560e+00,4.215448874132017743e+00
3.023237982432127158e+00,4.225653557235665048e+00
2.930409150129014151e+00,3.975230500001573297e+00
2.949673554904034933e+00,3.975653628758351488e+00
